Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4510128.61000,4373100.21000,4289106.29000,4343615.06000,4670892.67000,5534165.39000,5893523.43000,5777711.83000,6000776.53000,6139338.83000,6322808.63000,6483566.98000,6094576.12000,5876259.48000,5905469.26000,5963279.10000,5919889.08000,5927034.69000,7100506.98000,7665117.88000,7290813.37000,6616738.40000,5505950.94000,4691921.06000,2004-02-04
Sistema,Sistema,4415978.10000,4307223.72000,4258728.78000,4316493.34000,4634225.39000,5513363.77000,5807078.69000,5750892.76000,5999458.97000,6143260.33000,6349525.06000,6512402.91000,6148421.90000,5976851.03000,6051930.03000,6077112.27000,6049740.50000,6044113.63000,7224027.42000,7807718.62000,7365434.72000,6690716.72000,5582084.06000,4849988.41000,2004-02-05
Sistema,Sistema,4460362.07000,4394271.72000,4309351.89000,4343152.90000,4647376.07000,5516061.73000,5791466.69000,5811613.53000,6001447.25000,6199257.57000,6420323.88000,6549702.63000,6219171.13000,6023642.70000,6089869.85000,6093246.50000,6067325.98000,6060501.02000,7118730.10000,7613482.23000,7196891.09000,6555324.12000,5639065.40000,4949881.28000,2004-02-06
Sistema,Sistema,4617542.81000,4463642.87000,4373353.97000,4364807.61000,4500508.99000,4770793.88000,4994338.11000,5331582.77000,5741268.53000,5911653.43000,6039054.59000,6184647.24000,5998229.05000,5720106.62000,5533184.64000,5431505.71000,5364288.74000,5458853.36000,6667817.01000,7228403.95000,6932257.59000,6387341.33000,5621760.12000,4964342.54000,2004-02-07
Sistema,Sistema,4478861.58000,4270508.12000,4144084.74000,4111402.91000,4144460.64000,4259892.85000,4258877.49000,4443768.44000,4761326.41000,4956647.44000,5014246.90000,5095722.74000,5067241.34000,4916258.67000,4686181.99000,4591628.35000,4573143.19000,4771575.72000,6050135.95000,6808447.78000,6580034.25000,6000540.17000,5164633.41000,4514396.32000,2004-02-08
Sistema,Sistema,4255592.08000,4140835.39000,4082942.31000,4126711.87000,4438851.42000,5339444.33000,5651690.70000,5594561.57000,5858153.09000,6048569.78000,6278170.50000,6386840.01000,6052823.42000,5917861.35000,6002523.83000,5969140.38000,5978944.57000,6028224.22000,7145019.18000,7698023.43000,7257765.26000,6535187.70000,5476537.93000,4750793.54000,2004-02-09
Sistema,Sistema,4454335.76000,4359790.16000,4313740.86000,4350536.44000,4688537.46000,5584226.48000,5893306.48000,5793499.51000,6011498.40000,6146215.34000,6378598.72000,6513872.88000,6201836.61000,5985241.81000,6066711.84000,6108481.77000,6155100.08000,6293676.49000,7232649.62000,7663952.75000,7254911.61000,6607692.94000,5552926.82000,4746990.08000,2004-02-10
Sistema,Sistema,4406383.30000,4286877.31000,4248058.77000,4242135.16000,4565124.41000,5534895.20000,5835239.67000,5731946.89000,5902070.56000,6059067.97000,6293580.05000,6473255.43000,6081423.18000,5916397.15000,5996794.73000,6024366.43000,6042876.71000,6164163.62000,7251620.49000,7660259.26000,7225988.20000,6554338.17000,5484415.73000,4741436.98000,2004-02-11
Sistema,Sistema,4413054.31000,4355058.82000,4277938.44000,4316222.11000,4622602.40000,5516354.91000,5784878.23000,5721494.33000,5998169.97000,6111866.28000,6330978.56000,6464567.80000,6121819.34000,5959889.15000,6055436.18000,6100696.00000,6108786.41000,6151537.83000,7228257.86000,7677789.85000,7261291.32000,6535829.15000,5471571.17000,4761649.43000,2004-02-12
Sistema,Sistema,4453190.11000,4347446.13000,4283082.09000,4305230.80000,4627100.95000,5467391.74000,5811978.98000,5816595.08000,6060357.00000,6197120.63000,6397655.47000,6564340.99000,6244696.61000,6074889.24000,6137529.94000,6141510.36000,6120309.39000,6169973.78000,7195146.51000,7623505.07000,7191954.89000,6576544.34000,5642794.86000,4939778.80000,2004-02-13
