Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4Z6L,AGPE INDUSTRIAS SAGA DE COLOMBIA SAS PROYECT 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z6N,AGPE MOTEL PUNTO G,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z6P,AGPE PRIMAX BUCARAMANGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-24,OPERACION
4Z6R,AGPE FELIPE ANDRES PRIETO ARBELAEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-07-24,OPERACION
4Z8H,ZAMBRANO II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,DEPG,RAD SOLAR,2024-07-31,PRUEBAS
4Z8J,AGPE SUZUKI MOTOR DE COLOMBIA SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2025-07-24,OPERACION
4Z8L,MINIGRANJA SAN DIEGO SUR,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2025-12-07,OPERACION
4Z8N,MINIGRANJA EL JOROPO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2026-06-20,OPERACION
4Z8P,MINIGRANJA EL MAPALE,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2026-06-20,OPERACION
4Z8R,AGPE APC FRIGORIFICO ZF,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,QIEC,RAD SOLAR,2025-07-24,OPERACION
4Z8T,GD ENCANTO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,NTCG,RAD SOLAR,2025-09-25,OPERACION
4Z8V,AGPE COLEGIO COLOMBO ESPANOL DE BARRANQUILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-24,OPERACION
4Z95,AGPE LEOTECNICAS LTDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z97,AGPE INDUSTRIAS SAGA DE COLOMBIA SAS PROYECTO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z9G,AGPE SUPERMERCADOS MAS POR MENOS SAS GUARIN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-31,OPERACION
4Z9I,AGPE JERONIMO MARTINS COLOMBIA SAS TIENDA 792,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-31,OPERACION
4Z9K,AGPE CARLOS BUITRAGO BUITRAGO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-31,OPERACION
4Z9M,AGPE VALERIA HINCAPIE LOPEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-31,OPERACION
4Z9O,AGPE PLASTICOS DEL GREMIO CAFETERO S A,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2025-07-31,OPERACION
4Z9Q,SOLAR ARDOBELA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ECBG,RAD SOLAR,2025-12-24,OPERACION
4Z9S,SOLAR ARDOBELA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ECBG,RAD SOLAR,2025-12-24,OPERACION
4Z9U,AGPE CENTRO DE DIAGNOSTICO AUTOMOTOR PLANETA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-07-31,OPERACION
4Z9W,AGPE MOTEL ALADDIN 4M,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-31,OPERACION
