Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,daily_sum_kWh
Sistema,Sistema,4948760.75,4770670.22,4689881.66,4678009.39,4966786.55,5819793.74,6066087.44,6174042.1,6595019.7,6900274.78,7160098.46,7350851.92,7149353.08,7121061.47,7203592.98,7210272.44,7193434.99,7208569.15,8082695.31,8496117.05,8069070.75,7486902.45,6665423.26,5726553.1,2010-03-08,157733322.73999998
Sistema,Sistema,5288298.29,5092479.01,4968539.78,4954030.91,5203219.45,6013573.54,6219194.38,6370275.3,6753750.35,7028371.48,7304481.73,7472508.61,7135535.35,7090720.14,7323449.14,7302988.22,7242538.27,7140858.76,8158644.61,8661169.1,8323690.46,7710243.72,6768908.24,5887386.37,2010-03-09,161414855.21
Sistema,Sistema,5422824.36,5218708.52,5122013.05,5116933.9,5390480.24,6209177.61,6401193.92,6555894.48,6977630.35,7253212.61,7481901.06,7670229.47,7417236.82,7378094.35,7488841.02,7510288.88,7437660.27,7397603.76,8378026.25,8776316.11,8315395.58,7651876.06,6688406.54,5817547.84,2010-03-10,165077493.04999998
Sistema,Sistema,5363500.12,5165617.62,5050025.37,5044240.09,5281296.74,6108154.31,6334483.9,6474468.5,6865266.49,7116534.41,7363029.47,7532477.4,7312726.25,7252957.6,7372786.21,7430515.83,7399407.33,7353969.81,8265569.76,8768735.39,8365532.99,7726199.49,6779897.33,5935429.96,2010-03-11,163662822.37000003
Sistema,Sistema,5497149.09,5260115.06,5149252.38,5130942.88,5407508.92,6155699.19,6356241.92,6524633.69,6958173.06,7235848.87,7448365.68,7606434.21,7388776.96,7330621.89,7465151.93,7501862.34,7390830.62,7306770.7,8197266.71,8662098.87,8252169.83,7627963.24,6865805.12,6041549.73,2010-03-12,164761232.89000002
Sistema,Sistema,5554630.85,5297568.93,5180691.37,5125749.34,5224500.41,5496818.17,5656320.56,6093330.25,6639963.96,6977044.64,7215184.3,7394633.89,7260304.79,6999662.68,6771479.43,6629996.14,6530087.62,6552691.59,7588816.36,8117128.87,7811477.75,7277309.91,6517661.9,5812913.09,2010-03-13,155725966.80000004
Sistema,Sistema,5288082.02,5010858.4,4861186.6,4790289.29,4811402.86,4917355.94,4853119.6,5072567.23,5381062.36,5579463.18,5695183.73,5813790.89,5823254.04,5717588.62,5527987.94,5455237.91,5492473.09,5657669.06,6907319.16,7549050.23,7384835.12,6896919.51,6148424.31,5511329.52,2010-03-14,136146450.61
Sistema,Sistema,5067857.97,4877542.71,4807125.31,4802367.42,5086484.52,5849859.76,6063215.72,6335151.28,6847598.28,7171685.37,7449101.44,7628352.47,7451732.44,7380780.38,7492031.93,7521700.79,7411147.26,7343371.97,8308871.08,8804445.06,8448490.08,7807216.59,6809574.6,5904762.93,2010-03-15,162670467.36
Sistema,Sistema,5437332.22,5237356.8,5146557.41,5138675.23,5422984.94,6247095.96,6405906.85,6574757.03,6976022.64,7259428.36,7488338.28,7646472.03,7420479.17,7351657.3,7476422.54,7496330.05,7446427.89,7456152.94,8420619.24,8742893.21,8389107.4,7742232.32,6755462.53,5856276.25,2010-03-16,165534988.59
Sistema,Sistema,5431485.34,5221317.69,5158395.67,5142075.36,5409278.39,6243334.58,6423268.31,6553484.11,6921736.58,7128361.55,7345927.25,7531120.81,7234382.61,7172851.88,7274274.61,7250266.46,7288122.1,7240334.87,8086013.36,8447922.8,8091170.66,7380097.57,6436560.77,5601731.82,2010-03-17,162013515.14999998
