year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2015,6,7516979.543333333,9725947.78,5387411.62,5412225271.2,30
2015,7,7625409.976370968,9691950.24,5328544.43,5673305022.42,31
2015,8,7689412.693803763,9854068.38,5384661.63,5720923044.19,31
2015,9,7953734.359875,9946162.26,5579972.1,5726688739.11,30
2015,10,7739550.545188171,9835361.71,5523594.88,5758225605.62,31
2015,11,7553766.341222223,9882376.86,5410733.11,5438711765.68,30
2015,12,7666499.236922043,9890405.59,5094575.97,5703875432.2699995,31
2016,1,7517955.967701613,9761517.17,5027477.87,5593359239.97,31
2016,2,7853756.952356322,9847055.44,5596341.33,5466214838.84,29
2016,3,7286289.809045699,9558966.62,4995103.51,5420999617.93,31
2016,4,7396794.204166667,9384931.29,4965391.78,5325691827.0,30
2016,5,7370687.666290322,9509063.57,4985757.16,5483791623.72,31
2016,6,7441938.619833333,9361617.61,5329652.45,5358195806.28,30
2016,7,7353135.662782257,9418686.36,5194325.85,5470732933.11,31
2016,8,7711099.483091397,9656262.24,5206439.04,5737058015.42,31
2016,9,7689520.335388889,9670115.57,5440219.6,5536454641.4800005,30
2016,10,7501594.6126075275,9617079.44,5200431.13,5581186391.78,31
2016,11,7533020.169527778,9711975.36,5432410.86,5423774522.06,30
2016,12,7452571.543602151,9639278.0,5004653.38,5544713228.440001,31
2017,1,7291524.621774193,9327161.69,4846439.32,5424894318.599999,31
2017,2,7712648.107276785,9704105.79,5621268.38,5182899528.09,28
2017,3,7409904.46780914,9442365.15,5298056.28,5512968924.05,31
2017,4,7507799.075652778,9645777.96,5289713.62,5405615334.47,30
2017,5,7607848.9363172045,9650893.44,5473928.31,5660239608.62,31
2017,6,7619231.9407916665,9654190.78,5408340.59,5485846997.37,30
2017,7,7595556.591088709,9564911.12,5331130.28,5651094103.77,31
2017,8,7750565.898965054,9873609.09,5640397.63,5766421028.83,31
2017,9,7801574.290625,9700969.96,5512527.16,5617133489.25,30
2017,10,7708009.808091397,9891835.71,5485334.07,5734759297.219999,31
2017,11,7714540.328708333,9801235.2,5609556.28,5554469036.67,30
2017,12,7621983.364287634,9766055.04,5167368.8,5670755623.03,31
2018,1,7392135.768750001,9651629.58,4934867.82,5499749011.95,31
2018,2,7757236.468035715,9609655.78,5639298.73,5212862906.52,28
2018,3,7769630.423615592,9887766.66,5371672.11,5780605035.17,31
2018,4,7752455.699055555,9731419.04,5409731.09,5581768103.32,30
2018,5,7770306.975806451,9712150.06,5635044.23,5781108390.0,31
2018,6,7895635.021416667,9913380.17,5802675.49,5684857215.42,30
2018,7,7948259.169126344,9803273.96,5642593.38,5913504821.83,31
2018,8,8073055.964166666,9925595.4,5888962.53,6006353637.34,31
2018,9,8063828.819430556,9991461.74,5679191.34,5805956749.99,30
2018,10,8046879.050336022,9985480.38,5759540.18,5986878013.45,31
2018,11,8138015.671222222,10067082.4,5945937.94,5859371283.28,30
2018,12,7843033.799327957,10022028.45,5282511.12,5835217146.7,31
2019,1,7682325.579193548,9659158.0,4970665.48,5715650230.92,31
2019,2,7893174.88875,9808618.54,5714232.28,5304213525.24,28
2019,3,7800261.698373656,9698065.14,5744981.3,5803394703.59,31
2019,4,7871350.724277778,9954526.81,5763272.01,5667372521.48,30
2019,5,7969814.455994625,10130609.39,5762087.56,5929541955.26,31
2019,6,7995654.300916667,10039018.44,5816411.29,5756871096.66,30
2019,7,8110976.270497312,10075420.3,5844773.49,6034566345.25,31
2019,8,8197310.522163979,10044410.36,5884558.8,6098799028.49,31
2019,9,8192521.903819444,10303113.54,5836526.64,5898615770.75,30
2019,10,8086764.080981183,10150870.24,5905256.04,6016552476.25,31
2019,11,8111432.895611111,10429425.61,5986695.51,5840231684.84,30
2019,12,8130092.856008065,10314150.49,5792894.35,6048789084.87,31
2020,1,8050872.452674731,10124538.99,5494256.05,5989849104.79,31
2020,2,8445068.26257184,10341704.85,6170680.37,5877767510.75,29
2020,3,7971892.060322581,10329510.97,5571722.32,5931087692.88,31
2020,4,6942085.330930556,8702108.37,5143055.66,4998301438.27,30
2020,5,7279898.932513441,8956416.28,5309768.68,5416244805.79,31
2020,6,7412532.967347221,9213381.51,5293914.83,5337023736.49,30
2020,7,7677541.164892473,9606288.87,5476307.25,5712090626.68,31
2020,8,7865452.855564516,9726994.7,5607841.35,5851896924.54,31
2020,9,8146616.220791667,9913294.07,5904870.09,5865563678.969999,30
2020,10,8243205.289112903,10068840.96,5989819.75,6132944735.1,31
2020,11,8433045.180152778,10278274.96,6252956.13,6071792529.71,30
2020,12,8251335.069784947,10320299.26,5674882.9,6138993291.92,31
2021,1,7972792.871357528,9806908.68,5437937.54,5931757896.29,31
2021,2,8417843.901577381,10042042.68,6377084.07,5656791101.860001,28
2021,3,8147615.573346774,9999036.05,6057403.55,6061825986.57,31
2021,4,8091972.027055556,9896654.12,5783128.57,5826219859.48,30
2021,5,8061548.399663978,9957544.93,5859465.22,5997792009.349999,31
